Infinitive	First Conjugation	Second Conjugation
zapędzić	zapędzę	zapędzi
zapętać	zapętam	zapęta
zapętlać	zapętlam	zapętla
zapętlić	zapętlę	zapętli
zapiać	zapieję	zapieje
zapiaszczać	zapiaszczam	zapiaszcza
zapiaszczyć	zapiaszczę	zapiaszczy
zapiąć	zapnę	zapnie
zapić	zapiję	zapije
zapiec	zapiekę	zapiecze
zapieczętować	zapieczętuję	zapieczętuje
zapieczętowywać	zapieczętowuję	zapieczętowuje
zapiekać	zapiekam	zapieka
zapieklać	zapieklam	zapiekla
zapieklić	zapieklę	zapiekli
zapieniać	zapieniam	zapienia
zapienić	zapienię	zapieni
zapieprzać	zapieprzam	zapieprza
zapieprzyć	zapieprzę	zapieprzy
zapierać	zapieram	zapiera
zapierdalać	zapierdalam	zapierdala
zapierdolić	zapierdolę	zapierdoli
zapierdzielać	zapierdzielam	zapierdziela
zapierdzielić	zapierdzielę	zapierdzieli
zapierniczać	zapierniczam	zapiernicza
zapierniczyć	zapierniczę	zapierniczy
zapieścić	zapieszczę	zapieści
zapijaczać	zapijaczam	zapijacza
zapijaczyć	zapijaczę	zapijaczy
zapijać	zapijam	zapija
zapikać	zapikam	zapika
zapikować	zapikuję	zapikuje
zapiłować	zapiłuję	zapiłuje
zapiłowywać	zapiłowuję	zapiłowuje
zapinać	zapinam	zapina
zapisać	zapiszę	zapisze
zapiskać	zapiskam	zapiska
zapisować	zapisuję	zapisuje
zapisywać	zapisuję	zapisuje
zapiszczeć	zapiszczę	zapiszczy
zaplamić	zaplamię	zaplami
zaplanować	zaplanuję	zaplanuje
zaplatać	zaplatam	zaplata
zapląsać	zapląsam	zapląsa
zaplątać	zaplączę	zapląta
zaplątywać	zaplątuję	zaplątuje
zaplemniać	zaplemniam	zaplemnia
zaplemnić	zaplemnię	zaplemni
zapleniać	zapleniam	zaplenia
zaplenić	zaplenię	zapleni
zapleskać	zapleszczę	zapleszcze
zapleść	zaplotę	zaplecie
zapleśnić	zapleśnię	zapleśni
zapleśnieć	zapleśnieję	zapleśnieje
zaplombować	zaplombuję	zaplombuje
zaplonować	zaplonuję	zaplonuje
zapluć	zapluję	zapluje
zaplugawić	zaplugawię	zaplugawi
zapluskać	zapluskam	zapluszcze
zapluskwić	zapluskwię	zapluskwi
zaplusnąć	zaplusnę	zapluśnie
zapluwać	zapluwam	zapluwa
zapłacić	zapłacę	zapłaci
zapładniać	zapładniam	zapładnia
zapłakać	zapłaczę	zapłacze
zapłakiwać	zapłakuję	zapłakuje
zapłodnić	zapłodnię	zapłodni
zapłomieniać	zapłomieniam	zapłomienia
zapłomienić	zapłomienię	zapłomieni
zapłonąć	zapłonę	zapłonie
zapłonić	zapłonię	zapłoni
zapłoszyć	zapłoszę	zapłoszy
zapłukać	zapłuczę	zapłucze
zapłynąć	zapłynę	zapłynie
zapływać	zapływam	zapływa
zapobiegnąć	zapobiegnę	zapobiegnie
zapobiegać	zapobiegam	zapobiega
zapobieżeć	zapobieżę	zapobieży
zapocić	zapocę	zapoci
zapocząć	zapocznę	zapocznie
zapoczątkować	zapoczątkuję	zapoczątkuje
zapoczątkowywać	zapoczątkowuję	zapoczątkowuje
zapoczwarzać	zapoczwarzam	zapoczwarza
zapoczwarzyć	zapoczwarzę	zapoczwarzy
zapoczynać	zapoczynam	zapoczyna
zapodać	zapodam	zapoda
zapodawać	zapodaję	zapodaje
zapodziać	zapodzieję	zapodzieje
zapodziewać	zapodziewam	zapodziewa
zapogować	zapoguję	zapoguje
zapoić	zapoję	zapoi
zapokostować	zapokostuję	zapokostuje
zapolaczyć	zapolaczę	zapolaczy
zapoliturować	zapolituruję	zapolituruje
zapolować	zapoluję	zapoluje
zapomadować	zapomaduję	zapomaduje
zapomagać	zapomagam	zapomaga
zapominać	zapominam	zapomina
zapomnąć	zapomnę	zapomnie
zapomnieć	zapomnę	zapomni
zapomóc	zapomogę	zapomoże
zapośredniczać	zapośredniczam	zapośrednicza
zapośredniczyć	zapośredniczę	zapośredniczy
zapotnieć	zapotnieję	zapotnieje
zapotrzebować	zapotrzebuję	zapotrzebuje
zapotrzebowywać	zapotrzebowuję	zapotrzebowuje
zapowiadać	zapowiadam	zapowiada
zapowiedzieć	zapowiem	zapowie
zapowietrzać	zapowietrzam	zapowietrza
zapowietrzyć	zapowietrzę	zapowietrzy
zapowodować	zapowoduję	zapowoduje
zapoznać	zapoznam	zapozna
zapoznawać	zapoznaję	zapoznaje
zapozorować	zapozoruję	zapozoruje
zapozwać	zapozwę	zapozwie
zapozywać	zapozywam	zapozywa
zapożyczać	zapożyczam	zapożycza
zapożyczyć	zapożyczę	zapożyczy
zapóźniać	zapóźniam	zapóźnia
zapóźnić	zapóźnię	zapóźni
zapracować	zapracuję	zapracuje
zapracowywać	zapracowuję	zapracowuje
zaprać	zapiorę	zapierze
zapragnąć	zapragnę	zapragnie
zaprasować	zaprasuję	zaprasuje
zaprasowywać	zaprasowuję	zaprasowuje
zapraszać	zapraszam	zaprasza
zaprawiać	zaprawiam	zaprawia
zaprawić	zaprawię	zaprawi
zaprażać	zaprażam	zapraża
zaprażyć	zaprażę	zapraży
zapreliminować	zapreliminuję	zapreliminuje
zaprenumerować	zaprenumeruję	zaprenumeruje
zaprezentować	zaprezentuję	zaprezentuje
zaprobować	zaprobuję	zaprobuje
zaprocentować	zaprocentuję	zaprocentuje
zaprodukować	zaprodukuję	zaprodukuje
zaprogramować	zaprogramuję	zaprogramuje
zaprogramowywać	zaprogramowuję	zaprogramowuje
zaprojektować	zaprojektuję	zaprojektuje
zaproksymować	zaproksymuję	zaproksymuje
zapromienić	zapromienię	zapromieni
zapropagować	zapropaguję	zapropaguje
zaproponować	zaproponuję	zaproponuje
zaprosić	zaproszę	zaprosi
zaprotegować	zaproteguję	zaproteguje
zaprotestować	zaprotestuję	zaprotestuje
zaprotezować	zaprotezuję	zaprotezuje
zaprotokołować	zaprotokołuję	zaprotokołuje
zaprotokółować	zaprotokółuję	zaprotokółuje
zaprowadzać	zaprowadzam	zaprowadza
zaprowadzić	zaprowadzę	zaprowadzi
zaprowiantować	zaprowiantuję	zaprowiantuje
zaprowidować	zaprowiduję	zaprowiduje
zapróbować	zapróbuję	zapróbuje
zaprószać	zaprószam	zaprósza
zaprószyć	zaprószę	zaprószy
zapruć	zapruję	zapruje
zapruwać	zapruwam	zapruwa
zaprychać	zaprycham	zaprycha
zapryskać	zapryskam	zapryska
zapryskiwać	zapryskuję	zapryskuje
zaprzać	zaprzam	zaprza
zaprzągać	zaprzągam	zaprząga
zaprzągnąć	zaprzągnę	zaprzągnie
zaprzątać	zaprzątam	zaprząta
zaprzątnąć	zaprzątnę	zaprzątnie
zaprzątywać	zaprzątuję	zaprzątuje
zaprzeczać	zaprzeczam	zaprzecza
zaprzeczyć	zaprzeczę	zaprzeczy
zaprzeć	zaprzeję	zaprzeje
zaprzedać	zaprzedam	zaprzeda
zaprzedawać	zaprzedaję	zaprzedaje
zaprzepaszczać	zaprzepaszczam	zaprzepaszcza
zaprzepaścić	zaprzepaszczę	zaprzepaści
zaprzepaść	zaprzepadnę	zaprzepadnie
zaprzestać	zaprzestanę	zaprzestanie
zaprzestawać	zaprzestaję	zaprzestaje
zaprzęgać	zaprzęgam	zaprzęga
zaprząc	zaprzęgnę	zaprzęgnie
zaprzodkować	zaprzodkuję	zaprzodkuje
zaprzodkowywać	zaprzodkowuję	zaprzodkowuje
zaprzychodować	zaprzychoduję	zaprzychoduje
zaprzyjaźniać	zaprzyjaźniam	zaprzyjaźnia
zaprzyjaźnić	zaprzyjaźnię	zaprzyjaźni
zaprzykrzyć	zaprzykrzę	zaprzykrzy
zaprzysięgać	zaprzysięgam	zaprzysięga
zaprzysięgnąć	zaprzysięgnę	zaprzysięgnie
zapstrokacić	zapstrokacę	zapstrokaci
zapstrzyć	zapstrzę	zapstrzy
zaptaszkować	zaptaszkuję	zaptaszkuje
zapuchnąć	zapuchnę	zapuchnie
zapudełkować	zapudełkuję	zapudełkuje
zapudlić	zapudlę	zapudli
zapudłować	zapudłuję	zapudłuje
zapudrować	zapudruję	zapudruje
zapudrowywać	zapudrowuję	zapudrowuje
zapukać	zapukam	zapuka
zapulsować	zapulsuję	zapulsuje
zapunktować	zapunktuję	zapunktuje
zapunktowywać	zapunktowuję	zapunktowuje
zapustować	zapustuję	zapustuje
zapuszczać	zapuszczam	zapuszcza
zapuszkować	zapuszkuję	zapuszkuje
zapuszkowywać	zapuszkowuję	zapuszkowuje
zapuścić	zapuszczę	zapuści
zapychać	zapycham	zapycha
zapylać	zapylam	zapyla
zapylić	zapylę	zapyli
zapyrzyć	zapyrzę	zapyrzy
zapytać	zapytam	zapyta
zapytywać	zapytuję	zapytuje
zapyzieć	zapyzieję	zapyzieje
zarabiać	zarabiam	zarabia
zarabizować	zarabizuję	zarabizuje
zarabować	zarabuję	zarabuje
zarachować	zarachuję	zarachuje
zarachowywać	zarachowuję	zarachowuje
zaradzać	zaradzam	zaradza
zaradzić	zaradzę	zaradzi
zarajcować	zarajcuję	zarajcuje
zarampować	zarampuję	zarampuje
zaranić	zaranię	zarani
zaraportować	zaraportuję	zaraportuje
zarastać	zarastam	zarasta
zaratować	zaratuję	zaratuje
zaratyfikować	zaratyfikuję	zaratyfikuje
zarazić	zarażę	zarazi
zarażać	zarażam	zaraża
zarąbać	zarąbię	zarąbie
zarąbywać	zarąbuję	zarąbuje
zarchaizować	zarchaizuję	zarchaizuje
zarchiwizować	zarchiwizuję	zarchiwizuje
zardzawić	zardzawię	zardzawi
zardzawieć	zardzawieję	zardzawieje
zardzewieć	zardzewieję	zardzewieje
zareagować	zareaguję	zareaguje
zarechotać	zarechoczę	zarechocze
zarecytować	zarecytuję	zarecytuje
zarefować	zarefuję	zarefuje
zaregestrować	zaregestruję	zaregestruje
zarejestrować	zarejestruję	zarejestruje
zareklamować	zareklamuję	zareklamuje
zarekomendować	zarekomenduję	zarekomenduje
zarekwirować	zarekwiruję	zarekwiruje
zarepetować	zarepetuję	zarepetuje
zareplikować	zareplikuję	zareplikuje
zaretuszować	zaretuszuję	zaretuszuje
zarezerwować	zarezerwuję	zarezerwuje
zarębywać	zarębuję	zarębuje
zaręczać	zaręczam	zaręcza
zaręczyć	zaręczę	zaręczy
zaripostować	zaripostuję	zaripostuje
zarobaczyć	zarobaczę	zarobaczy
zarobaczywić	zarobaczywię	zarobaczywi
zarobić	zarobię	zarobi
zarobkować	zarobkuję	zarobkuje
zarodnikować	zarodnikuję	zarodnikuje
zarodzić	zarodzę	zarodzi
zaroić	zaroję	zaroi
zaronić	zaronię	zaroni
zaropieć	zaropieję	zaropieje
zarosić	zaroszę	zarosi
zaróść	zarosnę	zarośnie
zarość	zarostę	zaroście
zarozchodować	zarozchoduję	zarozchoduje
zarównać	zarównam	zarówna
zarównywać	zarównywam	zarównuje
zaróżowić	zaróżowię	zaróżowi
zaróżowieć	zaróżowieję	zaróżowieje
zarubrykować	zarubrykuję	zarubrykuje
zarudzieć	zarudzieję	zarudzieje
zarumieniać	zarumieniam	zarumienia
zarumienić	zarumienię	zarumieni
zarumienieć	zarumienieję	zarumienieje
zaruniać	zaruniam	zarunia
zarunić	zarunię	zaruni
zarunieć	zarunieję	zarunieje
zarurować	zaruruję	zaruruje
zaruszać	zaruszam	zarusza
zarwać	zarwę	zarwie
zarybiać	zarybiam	zarybia
zarybić	zarybię	zarybi
zaryczeć	zaryczę	zaryczy
zaryć	zaryję	zaryje
zaryglować	zarygluję	zarygluje
zaryglowywać	zaryglowuję	zaryglowuje
zarykiwać	zarykuję	zarykuje
zaryknąć	zaryknę	zaryknie
zarypać	zarypię	zarypie
zarysować	zarysuję	zarysuje
zarysowywać	zarysowuję	zarysowuje
zarytmetyzować	zarytmetyzuję	zarytmetyzuje
zarywać	zarywam	zarywa
zaryzykować	zaryzykuję	zaryzykuje
zarządzać	zarządzam	zarządza
zarządzić	zarządzę	zarządzi
zarzeknąć	zarzekę	zarzecze
zarzechotać	zarzechoczę	zarzechoce
zarzegotać	zarzegotam	zarzegocze
zarzekać	zarzekam	zarzeka
zarzezać	zarzezam	zarzeza
zarzezywać	zarzezuję	zarzezuje
zarzępolić	zarzępolę	zarzępoli
zarzęzić	zarzężę	zarzęzi
zarznąć	zarznę	zarznie
zarzucać	zarzucam	zarzuca
zarzucić	zarzucę	zarzuci
zarzygać	zarzygam	zarzyga
zarzynać	zarzynam	zarzyna
zarżeć	zarżę	zarży
zarżnąć	zarżnę	zarżnie
zasadzać	zasadzam	zasadza
zasadzić	zasadzę	zasadzi
zasalać	zasalam	zasala
zasalutować	zasalutuję	zasalutuje
zasapać	zasapię	zasapie
zasapywać	zasapuję	zasapuje
zasądzać	zasądzam	zasądza
zasądzić	zasądzę	zasądzi
zaschnąć	zaschnę	zaschnie
zasekwestrować	zasekwestruję	zasekwestruje
zaseplenić	zaseplenię	zasepleni
zaserwować	zaserwuję	zaserwuje
zasępiać	zasępiam	zasępia
zasępić	zasępię	zasępi
zasiać	zasieję	zasieje
zasiadać	zasiadam	zasiada
zasiadywać	zasiaduję	zasiaduje
zasiarczać	zasiarczam	zasiarcza
zasiarczyć	zasiarczę	zasiarczy
zasiągać	zasiągam	zasiąga
zasiągnąć	zasiągnę	zasiągnie
zasiąść	zasiądę	zasiądzie
zasiec	zasiekę	zasiecze
zasiedlać	zasiedlam	zasiedla
zasiedlić	zasiedlę	zasiedli
zasiedzieć	zasiedzę	zasiedzi
zasiekać	zasiekam	zasieka
zasiewać	zasiewam	zasiewa
zasięgać	zasięgam	zasięga
zasięgnąć	zasięgnę	zasięgnie
zasikać	zasikam	zasika
zasikiwać	zasikuję	zasikuje
zasilać	zasilam	zasila
zasilić	zasilę	zasili
zasilosować	zasilosuję	zasilosuje
zasinić	zasinię	zasini
zasinieć	zasinieję	zasinieje
zasiusiać	zasiusiam	zasiusia
zaskakiwać	zaskakuję	zaskakuje
zaskalić	zaskalę	zaskali
zaskamlać	zaskamlę	zaskamle
zaskamleć	zaskamlę	zaskamle
zaskamłać	zaskamłam	zaskamła
zaskandować	zaskanduję	zaskanduje
zaskarbiać	zaskarbiam	zaskarbia
zaskarbić	zaskarbię	zaskarbi
zaskarżać	zaskarżam	zaskarża
zaskarżyć	zaskarżę	zaskarży
zasklepiać	zasklepiam	zasklepia
zasklepić	zasklepię	zasklepi
zaskoblować	zaskobluję	zaskobluje
zaskoczyć	zaskoczę	zaskoczy
zaskomleć	zaskomlę	zaskomli
zaskomlić	zaskomlę	zaskomli
zaskorupiać	zaskorupiam	zaskorupia
zaskorupić	zaskorupię	zaskorupi
zaskorupieć	zaskorupieję	zaskorupieje
zaskowyczeć	zaskowyczę	zaskowyczy
zaskowytać	zaskowytam	zaskowyta
zaskrobać	zaskrobię	zaskrobie
zaskrudlić	zaskrudlę	zaskrudli
zaskrzeczeć	zaskrzeczę	zaskrzeczy
zaskrzepiać	zaskrzepiam	zaskrzepia
zaskrzepić	zaskrzepię	zaskrzepi
zaskrzepnąć	zaskrzepnę	zaskrzepnie
zaskrzyć	zaskrzę	zaskrzy
zaskrzypieć	zaskrzypię	zaskrzypi
zaskrzypnąć	zaskrzypnę	zaskrzypnie
zaskuczeć	zaskuczę	zaskuczy
zaskwierczeć	zaskwierczę	zaskwierczy
zasłabieć	zasłabieję	zasłabieje
zasłabnąć	zasłabnę	zasłabnie
zasłać	zaścielę	zaściele
zasładzać	zasładzam	zasładza
zasłaniać	zasłaniam	zasłania
zasłocić	zasłocę	zasłoci
zasłodzić	zasłodzę	zasłodzi
zasłonecznić	zasłonecznię	zasłoneczni
zasłonić	zasłonię	zasłoni
zasłuchać	zasłucham	zasłucha
zasłuchiwać	zasłuchuję	zasłuchuje
zasługiwać	zasługuję	zasługuje
zasłużyć	zasłużę	zasłuży
zasłynąć	zasłynę	zasłynie
zasłyszeć	zasłyszę	zasłyszy
zasmagać	zasmagam	zasmaga
zasmakować	zasmakuję	zasmakuje
zasmarkać	zasmarczę	zasmarcze
zasmarkiwać	zasmarkuję	zasmarkuje
zasmarować	zasmaruję	zasmaruje
zasmarowywać	zasmarowuję	zasmarowuje
zasmażać	zasmażam	zasmaża
zasmażyć	zasmażę	zasmaży
zasmęcać	zasmęcam	zasmęca
zasmęcić	zasmęcę	zasmęci
zasmętniać	zasmętniam	zasmętnia
zasmętnić	zasmętnię	zasmętni
zasmolić	zasmolę	zasmoli
zasmołować	zasmołuję	zasmołuje
zasmołowywać	zasmołowuję	zasmołowuje
zasmradzać	zasmradzam	zasmradza
zasmrodzić	zasmrodzę	zasmrodzi
zasmucać	zasmucam	zasmuca
zasmucić	zasmucę	zasmuci
zasnąć	zasnę	zaśnie
zasnuć	zasnuję	zasnuje
zasnuwać	zasnuwam	zasnuwa
zasobić	zasobię	zasobi
zasolić	zasolę	zasoli
zaspać	zaśpię	zaśpi
zaspakajać	zaspakajam	zaspakaja
zaspawać	zaspawam	zaspawa
zaspokajać	zaspokajam	zaspokaja
zaspokoić	zaspokoję	zaspokoi
zasponsorować	zasponsoruję	zasponsoruje
zasposabiać	zasposabiam	zasposabia
zasposobić	zasposobię	zasposobi
zasrać	zasram	zasra
zasrebrnieć	zasrebrnieję	zasrebrnieje
zasrebrzyć	zasrebrzę	zasrebrzy
zasromać	zasromam	zasroma
zasrożeć	zasrożeję	zasrożeje
zasrywać	zasrywam	zasrywa
zassać	zassę	zassie
zastać	zastoję	zastoi
zastalić	zastalę	zastali
zastanawiać	zastanawiam	zastanawia
zastanowić	zastanowię	zastanowi
zastartować	zastartuję	zastartuje
zastarzeć	zastarzeję	zastarzeje
zastawać	zastaję	zastaje
zastawiać	zastawiam	zastawia
zastawić	zastawię	zastawi
zastąpić	zastąpię	zastąpi
zastebnować	zastebnuję	zastebnuje
zastębnować	zastębnuję	zastębnuje
zastębnowywać	zastębnowuję	zastębnowuje
zastękać	zastękam	zastęka
zastępować	zastępuję	zastępuje
zastopować	zastopuję	zastopuje
zastosować	zastosuję	zastosuje
zastosowywać	zastosowuję	zastosowuje
zastrachać	zastracham	zastracha
zastrajkować	zastrajkuję	zastrajkuje
zastraszać	zastraszam	zastrasza
zastraszyć	zastraszę	zastraszy
zastratyfikować	zastratyfikuję	zastratyfikuje
zastrugać	zastrużę	zastruga
zastrugiwać	zastruguję	zastruguje
zastrupieć	zastrupieję	zastrupieje
zastrychować	zastrychuję	zastrychuje
zastrychowywać	zastrychowuję	zastrychowuje
zastrzec	zastrzegę	zastrzeże
zastrzegać	zastrzegam	zastrzega
zastrzelić	zastrzelę	zastrzeli
zastrzęgać	zastrzęgam	zastrzęga
zastrzęgnąć	zastrzęgnę	zastrzęgnie
zastrzyc	zastrzygę	zastrzyże
zastrzykać	zastrzykam	zastrzyka
zastrzykiwać	zastrzykuję	zastrzykuje
zastrzyknąć	zastrzyknę	zastrzyknie
zastudzić	zastudzę	zastudzi
zastukać	zastukam	zastuka
zastukotać	zastukocę	zastukoce
zastygać	zastygam	zastyga
zastygnąć	zastygnę	zastygnie
zasubskrybować	zasubskrybuję	zasubskrybuje
zasuć	zasuję	zasuje
zasugerować	zasugeruję	zasugeruje
zasugestionować	zasugestionuję	zasugestionuje
zasumować	zasumuję	zasumuje
zasunąć	zasunę	zasunie
zasuplać	zasuplam	zasupla
zasuplić	zasuplę	zasupli
zasupłać	zasupłam	zasupła
zasupływać	zasupłuję	zasupłuje
zasuspendować	zasuspenduję	zasuspenduje
zasuszać	zasuszam	zasusza
zasuszyć	zasuszę	zasuszy
zasuwać	zasuwam	zasuwa
zaswatać	zaswatam	zaswata
zaswawolić	zaswawolę	zaswawoli
zaswędzać	zaswędzam	zaswędza
zaswędzić	zaswędzę	zaswędzi
zaswędzieć	zaswędzę	zaswędzi
zasycać	zasycam	zasyca
zasychać	zasycham	zasycha
zasycić	zasycę	zasyci
zasyczeć	zasyczę	zasyczy
zasyfiać	zasyfiam	zasyfia
zasyfić	zasyfię	zasyfi
zasygnalizować	zasygnalizuję	zasygnalizuje
zasygnować	zasygnuję	zasygnuje
zasyłać	zasyłam	zasyła
zasymilować	zasymiluję	zasymiluje
zasymulować	zasymuluję	zasymuluje
zasypać	zasypię	zasypie
zasypiać	zasypiam	zasypia
zasypywać	zasypuję	zasypuje
zasysać	zasysam	zasysa
zaszachować	zaszachuję	zaszachuje
zaszachrować	zaszachruję	zaszachruje
zaszachrowywać	zaszachrowuję	zaszachrowuje
zaszaleć	zaszaleję	zaszaleje
zaszalować	zaszaluję	zaszaluje
zaszamotać	zaszamotam	zaszamota
zaszamotywać	zaszamotuję	zaszamotuje
zaszanować	zaszanuję	zaszanuje
zaszantażować	zaszantażuję	zaszantażuje
zaszańcować	zaszańcuję	zaszańcuje
zaszargać	zaszargam	zaszarga
zaszargiwać	zaszarguję	zaszarguje
zaszarpać	zaszarpię	zaszarpie
zaszarzeć	zaszarzeję	zaszarzeje
zaszarżować	zaszarżuję	zaszarżuje
zaszastać	zaszastam	zaszasta
zaszczać	zaszczę	zaszcza
zaszczebiotać	zaszczebiocę	zaszczebiocze
zaszczekać	zaszczekam	zaszczeka
zaszczeknąć	zaszczeknę	zaszczeknie
zaszczeniać	zaszczeniam	zaszczenia
zaszczenić	zaszczenię	zaszczeni
zaszczepiać	zaszczepiam	zaszczepia
zaszczepić	zaszczepię	zaszczepi
zaszczękać	zaszczękam	zaszczęka
zaszczęknąć	zaszczęknę	zaszczęknie
zaszczuć	zaszczuję	zaszczuje
zaszczurzać	zaszczurzam	zaszczurza
zaszczurzyć	zaszczurzę	zaszczurzy
zaszczuwać	zaszczuwam	zaszczuwa
zaszczycać	zaszczycam	zaszczyca
zaszczycić	zaszczycę	zaszczyci
zaszczywać	zaszczywam	zaszczywa
zaszelepotać	zaszelepocę	zaszelepota
zaszeleścić	zaszeleszczę	zaszeleści
zaszemrać	zaszemram	zaszemra
zaszeptać	zaszepcę	zaszepce
zaszeregować	zaszereguję	zaszereguje
zaszeregowywać	zaszeregowuję	zaszeregowuje
zaszkicować	zaszkicuję	zaszkicuje
zaszklić	zaszklę	zaszkli
zaszkodzić	zaszkodzę	zaszkodzi
zaszlachtować	zaszlachtuję	zaszlachtuje
zaszlifować	zaszlifuję	zaszlifuje
zaszlifowywać	zaszlifowuję	zaszlifowuje
zaszlochać	zaszlocham	zaszlocha
zaszmelcować	zaszmelcuję	zaszmelcuje
zaszmelcowywać	zaszmelcowuję	zaszmelcowuje
zasznurować	zasznuruję	zasznuruje
zasznurowywać	zasznurowuję	zasznurowuje
zaszokować	zaszokuję	zaszokuje
zaszołomić	zaszołomię	zaszołomi
zaszorować	zaszoruję	zaszoruje
zaszorowywać	zaszorowuję	zaszorowuje
zaszpachlować	zaszpachluję	zaszpachluje
zaszpanować	zaszpanuję	zaszpanuje
zaszpecać	zaszpecam	zaszpeca
zaszpecić	zaszpecę	zaszpeci
zaszpiclować	zaszpicluję	zaszpicluje
zaszpiclowywać	zaszpiclowuję	zaszpiclowuje
zaszpilić	zaszpilę	zaszpili
zaszpuntować	zaszpuntuję	zaszpuntuje
zasztauować	zasztauuję	zasztauuje
zaszturmować	zaszturmuję	zaszturmuje
zasztyletować	zasztyletuję	zasztyletuje
zaszufladkować	zaszufladkuję	zaszufladkuje
zaszumiać	zaszumiam	zaszumia
zaszumić	zaszumię	zaszumi
zaszumieć	zaszumię	zaszumi
zaszurać	zaszuram	zaszura
zaszuścić	zaszuszczę	zaszuści
zaszwajsować	zaszwajsuję	zaszwajsuje
zaszwankować	zaszwankuję	zaszwankuje
zaszwargotać	zaszwargoczę	zaszwargocze
zaszwejsować	zaszwejsuję	zaszwejsuje
zaszybiać	zaszybiam	zaszybia
zaszybić	zaszybię	zaszybi
zaszybować	zaszybuję	zaszybuje
zaszyć	zaszyję	zaszyje
zaszydzić	zaszydzę	zaszydzi
zaszyfrować	zaszyfruję	zaszyfruje
zaszyfrowywać	zaszyfrowuję	zaszyfrowuje
zaszywać	zaszywam	zaszywa
zaścibolić	zaścibolę	zaściboli
zaścielać	zaścielam	zaściela
zaścielić	zaścielę	zaścieli
zaściełać	zaściełam	zaścieła
zaścigać	zaścigam	zaściga
zaścignąć	zaścignę	zaścignie
zaściskać	zaściskam	zaściska
zaśklnić	zaśklnię	zaśklni
zaślepiać	zaślepiam	zaślepia
zaślepić	zaślepię	zaślepi
zaślepnąć	zaślepnę	zaślepnie
zaślimaczać	zaślimaczam	zaślimacza
zaślimaczyć	zaślimaczę	zaślimaczy
zaślinić	zaślinię	zaślini
zaślubiać	zaślubiam	zaślubia
zaślubić	zaślubię	zaślubi
zaśmiać	zaśmieję	zaśmieje
zaśmiardnąć	zaśmiardnę	zaśmiardnie
zaśmiecać	zaśmiecam	zaśmieca
zaśmiecić	zaśmiecę	zaśmieci
zaśmielić	zaśmielę	zaśmieli
zaśmierdnąć	zaśmierdnę	zaśmierdnie
zaśmierdzać	zaśmierdzam	zaśmierdza
zaśmierdzić	zaśmierdzę	zaśmierdzi
zaśmierdzieć	zaśmierdzę	zaśmierdzi
zaśmierzyć	zaśmierzę	zaśmierzy
zaśmiewać	zaśmiewam	zaśmiewa
zaśmigać	zaśmigam	zaśmiga
zaśniecać	zaśniecam	zaśnieca
zaśniecić	zaśniecę	zaśnieci
zaśniedzać	zaśniedzam	zaśniedza
zaśniedzić	zaśniedzę	zaśniedzi
zaśniedzieć	zaśniedzieję	zaśniedzieje
zaśnieżać	zaśnieżam	zaśnieża
zaśnieżyć	zaśnieżę	zaśnieży
zaśpiewać	zaśpiewam	zaśpiewa
zaśpiewywać	zaśpiewuję	zaśpiewuje
zaśrubować	zaśrubuję	zaśrubuje
zaśrubowywać	zaśrubowuję	zaśrubowuje
zaświadczać	zaświadczam	zaświadcza
zaświadczyć	zaświadczę	zaświadczy
zaświdrować	zaświdruję	zaświdruje
zaświecać	zaświecam	zaświeca
zaświecić	zaświecę	zaświeci
zaświegotać	zaświegotam	zaświegota
zaświergolić	zaświergolę	zaświergoli
zaświergotać	zaświergoczę	zaświergota
zaświerzbić	zaświerzbię	zaświerzbi
zaświerzbieć	zaświerzbię	zaświerzbi
zaświetleć	zaświetleję	zaświetleje
zaświetlić	zaświetlę	zaświetli
zaświetnieć	zaświetnieję	zaświetnieje
zaświniać	zaświniam	zaświnia
zaświnić	zaświnię	zaświni
zaświrować	zaświruję	zaświruje
zaświsnąć	zaświsnę	zaświśnie
zaświstać	zaświstam	zaświszcze
zaświszczeć	zaświszczę	zaświszcze
zaświtać	zaświtam	zaświta
zatabaczać	zatabaczam	zatabacza
zatabaczyć	zatabaczę	zatabaczy
zatachać	zatacham	zatacha
zatachiwać	zatachuję	zatachuje
zatachlować	zatachluję	zatachluje
zataczać	zataczam	zatacza
zataić	zataję	zatai
zatajać	zatajam	zataja
zatamować	zatamuję	zatamuje
zatamowywać	zatamowuję	zatamowuje
zatankować	zatankuję	zatankuje
zatańcować	zatańcuję	zatańcuje
zatańcowywać	zatańcowuję	zatańcowuje
zatańczyć	zatańczę	zatańczy
zatapiać	zatapiam	zatapia
zatarasić	zataraszę	zatarasi
zatarasować	zatarasuję	zatarasuje
zatarasowywać	zatarasowuję	zatarasowuje
zatargać	zatargam	zatarga
zatargować	zatarguję	zatarguje
zatarkotać	zatarkocę	zatarkocze
zatarmosić	zatarmoszę	zatarmosi
zataskać	zataskam	zataska
zataskiwać	zataskuję	zataskuje
zatasować	zatasuję	zatasuje
zataszczyć	zataszczę	zataszczy
zataśtać	zataśtam	zataśta
zatatrać	zatatram	zatatra
zatchnąć	zatchnę	zatchnie
zatelefonować	zatelefonuję	zatelefonuje
zatelegrafować	zatelegrafuję	zatelegrafuje
zatelepać	zatelepię	zatelepie
zatemperować	zatemperuję	zatemperuje
zaterkotać	zaterkoczę	zaterkocze
